animal_name;hair;feathers;eggs;milk;airborne;aquatic;predator;toothed;backbone;breathes;venomous;fins;limbs;tail;domestic;catsize;category
Drosophila_Melanogaster;0;0;1;0;1;0;0;0;0;1;0;0;6;0;0;0;Insect
Homo_sapiens;1;0;0;1;0;0;1;1;1;1;0;0;4;0;0;0;Mammal
Mus_musculus;1;0;0;1;0;0;0;1;1;1;0;0;4;1;0;0;Mammal
Arabidopsis_thaliana;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Plant
Escherichia_coli;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Bacteria
Danio_rerio;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;Fish
Saccharomyces_cerevisae;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Yeast
Caenorhabditis_elegans;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;Nematode
Felis_catus;1;0;0;1;0;0;1;1;1;1;0;0;4;1;1;1;Mammal
Lysinibacillus spp.;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Bacteria
Staphylococcus_aureus;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Bacteria
Mycobacterium_tuberculosis;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Bacteria
Pseudomonas_aeruginosa;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Bacteria
Bothrops_jararaca;0;0;1;0;0;0;1;1;1;1;1;0;0;1;0;0;Reptile
Anodorhynchus_hyacinthinus;0;1;1;0;1;0;0;0;1;1;0;0;2;1;0;1;Bird
Rhinella_marina;0;0;1;0;0;1;0;0;1;1;1;0;4;0;0;0;Amphibian
Araucaria_brasiliensis;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Plant
Aedes_aegypti;0;0;1;0;1;0;0;0;0;1;0;0;6;0;0;0;Insect
Artibeus_lituratus ;1;0;0;1;1;0;0;1;1;1;0;0;4;0;0;0;Mammal
Pseudolycoriella_hygida;0;0;1;0;1;0;0;0;0;1;0;0;6;0;0;0;Insect
Xenopus_laevis;0;0;1;0;0;1;0;1;1;1;0;0;4;0;0;0;Amphibian
Zea_mays;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Plant
Glycine_max;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Plant
Solanum_lycopersicum;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Plant
Neurospora_crassa;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Fungi
Aspergillus_nidulans;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Fungi
Penicillium_chrysogenum;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Fungi
Amazona_leucocephala;0;1;1;0;1;0;0;1;1;1;0;0;4;1;0;1;Bird
Kareius_bicoloratus;0;0;1;0;0;1;0;1;1;1;0;1;0;1;0;0;Fish
Galba_truncatula;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;Molusc
Hynobius_yiwuensis;0;0;1;0;0;1;0;1;1;1;0;0;4;1;0;0;Amphibian
Anoplophora_chinensis;0;0;1;0;0;0;0;0;0;1;0;0;6;0;0;0;Insect
Sphyraena_barracuda;0;0;1;0;0;1;1;1;1;1;0;1;0;1;0;1;Fish
Anguilla_marmorata;0;0;1;0;0;1;0;1;1;1;0;1;0;0;0;0;Fish
Loxosceles_sp.;0;0;1;0;0;0;1;0;0;1;1;0;6;0;0;0;Insect
Canis_lupus_familiaris;1;0;0;1;0;0;0;1;1;1;0;0;4;1;1;1;Mammal
Biomphalaria_choanomphala;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;Molusc
Hystrix_brachyura;1;0;0;1;0;0;0;1;1;1;1;0;4;0;0;1;Mammal
Phoenicopterus_ruber;0;1;1;0;1;1;0;1;1;1;0;0;4;0;0;1;Bird
Baronia_brevicornis;0;0;1;0;1;0;0;0;0;1;0;0;6;0;0;0;Insect
Bombyx_mori;0;0;1;0;1;0;0;0;0;1;0;0;6;0;0;0;Insect
